n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2
2.97,0.00,0.28,0.00,0.39,0.02,0.30,0.57,0.00,1.53,0.80,0.40,0.13,0.91,0.12,0.00,0.00,0.00,0.00,0.53,0.05,1.33,0.00,0.00,0.07,0.00,0.25,0.15,0.00,0.53,0.00,0.32,0.00,0.00,0.64,0.00
3.00,0.11,0.00,0.00,0.00,0.00,0.31,0.05,0.00,1.64,0.80,0.46,0.34,0.61,0.00,0.00,0.09,0.01,0.00,0.16,0.14,1.28,0.00,0.00,0.00,0.00,0.23,0.18,0.00,0.33,0.00,0.00,0.00,0.46,0.07,0.00
3.07,0.69,0.00,0.00,0.01,0.01,0.00,0.43,0.00,1.69,0.92,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,1.17,0.14,0.19,0.00,0.30,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.76,0.00,0.00
3.09,0.85,0.06,0.18,0.49,0.43,0.00,0.01,0.00,1.59,1.06,0.97,0.00,0.00,0.32,0.56,0.00,0.00,0.00,0.00,0.23,1.18,0.32,0.25,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.41,0.00,0.82,0.28,0.00
3.14,0.90,0.09,0.00,0.40,0.13,0.01,0.25,0.23,1.57,1.10,1.07,0.34,0.00,0.34,1.04,0.00,0.00,0.00,0.13,0.21,0.49,0.29,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.30,0.00,0.00,0.90,0.00,0.00
3.23,1.06,0.00,0.03,0.14,0.00,0.40,0.44,0.08,0.31,0.27,0.93,0.38,0.00,0.06,1.10,0.23,0.00,0.25,0.16,0.31,0.71,0.00,0.01,0.00,0.57,0.00,0.69,0.00,0.00,0.21,0.00,0.00,1.07,0.63,0.05
3.27,1.31,0.00,0.53,0.00,0.00,1.09,0.11,0.00,0.13,0.15,0.89,0.53,0.13,0.00,1.02,0.10,0.09,0.98,0.00,0.33,0.76,0.00,0.16,0.00,0.89,0.00,0.59,0.00,0.43,0.01,0.00,0.00,1.17,0.74,0.00
3.26,1.51,0.02,0.38,0.18,0.16,1.24,0.37,0.00,0.56,0.18,0.88,0.41,0.20,0.05,0.90,0.00,0.00,1.14,0.00,0.21,0.87,0.02,0.00,0.00,0.84,0.00,0.53,0.00,0.48,0.35,0.00,0.00,1.28,0.67,0.00
3.25,1.59,0.23,0.00,0.38,0.08,0.94,0.46,0.00,1.15,0.20,0.77,0.00,0.34,0.07,0.88,0.00,0.00,0.99,0.00,0.00,0.70,0.00,0.14,0.00,0.49,0.00,0.13,0.01,0.28,0.15,0.09,0.00,1.31,0.40,0.00
3.31,1.49,0.00,0.01,0.00,0.00,0.88,0.38,0.00,1.20,0.39,0.61,0.00,0.45,0.00,0.15,0.00,0.03,0.75,0.00,0.00,0.00,0.04,0.41,0.15,0.00,0.00,0.18,0.09,0.03,0.00,0.40,0.53,1.26,0.00,0.17
3.38,1.23,0.00,0.36,0.00,0.00,0.51,0.09,0.01,1.24,0.46,0.49,0.00,0.36,0.29,0.08,0.00,0.25,0.45,0.16,0.00,0.01,0.08,0.52,0.00,0.00,0.05,0.75,0.10,0.00,0.00,0.08,0.96,1.25,0.00,0.11
3.32,0.00,0.00,0.03,0.11,0.40,0.59,0.08,0.00,1.35,0.67,0.17,0.22,0.00,0.40,0.00,0.01,0.19,0.00,0.00,0.32,0.00,0.23,0.23,0.00,0.40,0.00,0.90,0.00,0.16,0.00,0.17,0.90,1.26,0.00,0.00
3.23,0.00,0.00,0.00,0.50,0.63,0.57,0.00,0.00,1.34,0.75,0.54,0.04,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.68,0.00,0.69,0.00,0.00,0.17,0.00,0.69,0.00,0.66,0.14,0.25,0.75,1.28,0.00,0.00
3.25,0.00,0.00,0.00,0.56,0.67,0.01,0.17,0.00,1.28,0.00,0.38,0.00,0.00,0.53,0.34,0.30,0.00,0.10,0.38,0.61,0.00,0.73,0.03,0.00,0.00,0.00,0.33,0.20,0.37,0.17,0.00,0.61,1.18,0.00,0.07
3.28,0.37,0.00,0.00,0.53,0.99,0.00,0.14,0.74,1.04,0.00,0.33,0.00,0.00,0.55,0.85,0.14,0.08,0.00,0.00,0.36,0.00,0.42,0.01,0.74,0.00,0.00,0.00,0.06,0.00,0.09,0.37,0.46,0.00,0.00,0.18
3.28,0.00,0.00,0.00,0.62,1.11,0.00,0.63,1.04,0.00,0.25,0.44,0.00,0.00,0.58,0.98,0.35,0.30,0.00,0.00,0.38,0.00,0.14,0.19,0.58,0.00,0.00,0.00,0.00,0.00,0.15,0.01,0.39,0.06,0.00,0.00
3.28,0.00,0.00,0.00,0.00,0.88,0.07,0.99,0.68,0.00,0.00,0.38,0.00,0.00,0.49,0.77,0.30,0.26,0.00,0.00,0.32,0.06,0.53,0.34,0.13,0.00,0.00,0.23,0.00,0.00,0.07,0.00,0.24,0.00,0.00,0.00
3.26,0.20,0.28,0.00,0.00,0.84,0.38,1.20,0.35,0.27,0.00,0.33,0.07,0.00,0.46,0.71,0.00,0.00,0.20,0.00,0.08,0.18,0.71,0.20,0.00,0.20,0.00,0.15,0.10,0.00,0.00,0.00,0.00,0.19,0.00,0.00
3.19,0.00,0.27,0.37,0.00,0.97,0.01,1.36,0.40,0.43,0.70,0.23,0.11,0.00,0.51,0.26,0.00,0.00,0.27,0.00,0.00,0.00,0.79,0.00,0.00,0.16,0.00,0.00,0.16,0.00,0.00,0.04,0.00,0.01,0.43,0.00
3.03,0.00,0.00,0.66,0.00,0.94,0.00,1.49,0.41,0.61,0.75,0.03,0.00,0.00,0.50,0.02,0.00,0.00,0.00,0.15,0.00,0.00,0.83,0.00,0.29,0.11,0.00,0.00,0.19,0.00,0.00,0.17,0.15,0.13,0.67,0.00
2.93,0.00,0.00,1.04,0.51,0.95,0.00,1.40,0.37,0.73,0.80,0.00,0.00,0.00,0.44,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.49,0.00,0.00,0.00,0.00,0.12,0.27,0.00,0.00,0.00,0.00,0.61,0.87,0.00
2.89,0.00,0.91,1.14,0.59,1.08,0.00,0.98,0.01,0.64,1.19,0.24,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.64,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.70,0.87,0.29
0.24,0.26,1.39,1.12,0.00,1.12,0.03,0.00,0.32,0.00,1.38,0.40,0.00,0.00,0.00,0.29,0.29,0.00,0.00,0.32,0.07,0.25,0.51,0.35,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.73,0.42
0.17,0.00,1.26,1.07,0.69,1.27,0.00,0.00,0.51,0.00,1.17,0.53,0.00,0.00,0.00,0.16,0.10,0.00,0.00,0.18,0.00,0.00,0.00,0.28,0.02,0.00,0.00,0.24,0.29,0.00,0.00,0.34,0.00,0.00,0.00,0.30
0.00,0.05,0.94,0.97,0.96,1.40,0.00,0.00,0.69,0.20,0.97,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.38,0.00,0.00,0.66,0.52,0.00,0.00,0.35,0.00,0.00,0.00,0.21
0.00,0.68,0.69,0.91,0.95,1.47,0.00,0.00,0.63,0.00,0.10,0.16,0.30,0.43,0.05,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.14,0.00,0.43,0.00,0.00,0.30,0.14,0.00,0.00,0.04,0.00,0.00,0.00,0.00
0.17,1.09,0.56,0.69,0.92,1.49,0.28,0.00,0.46,0.00,0.20,0.48,0.00,0.27,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.51,0.48,0.00,0.00
0.50,1.18,0.47,1.13,0.64,1.34,0.00,0.29,0.24,0.20,0.14,0.44,0.00,0.00,0.45,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.29,0.00,0.13,0.00,0.00,0.13,0.44,0.47,0.69,0.00,0.21
0.49,1.06,0.39,1.44,0.00,1.18,0.00,0.00,0.00,0.12,0.00,0.26,0.10,0.00,0.29,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.50,0.00,0.00,0.00,0.07,0.09,0.00,0.67,0.11,0.96,0.00,0.01
0.00,0.89,0.02,1.47,0.28,1.11,0.00,0.00,0.67,0.17,0.00,0.52,0.00,0.00,0.35,0.19,0.00,0.00,0.07,0.29,0.00,0.00,0.00,0.19,0.46,0.00,0.00,0.00,0.13,0.00,0.00,0.51,0.00,1.32,0.00,0.00
0.30,0.00,0.11,1.29,0.00,1.20,0.00,0.00,1.02,0.11,0.00,0.76,0.00,0.00,0.35,0.32,0.00,0.00,0.51,0.22,0.49,0.00,0.00,0.00,0.11,0.00,0.00,0.19,0.00,0.00,0.00,0.29,0.00,1.35,0.00,0.00
0.32,0.00,0.00,1.25,0.00,1.29,0.00,0.02,0.98,0.00,0.00,0.59,0.00,0.00,0.37,0.60,0.00,0.07,0.70,0.00,0.73,0.00,0.00,0.00,0.32,0.18,0.00,0.00,0.00,0.00,0.46,0.23,0.00,1.01,0.00,0.00
0.00,0.00,0.00,1.14,0.62,1.29,0.00,0.24,0.67,0.00,0.01,0.38,0.04,0.18,0.35,0.84,0.00,0.24,0.43,0.15,0.59,0.00,0.00,0.15,0.57,0.09,0.00,0.00,0.00,0.00,0.58,0.02,0.00,0.63,0.15,0.00
0.00,0.22,0.00,1.07,1.53,1.30,0.00,0.21,0.39,0.36,0.00,0.00,0.00,0.20,0.40,0.82,0.30,0.00,0.00,0.42,0.41,0.00,0.00,0.13,0.84,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.06,0.09,0.14
0.19,0.49,0.46,0.16,1.53,1.26,0.25,0.13,0.30,0.32,0.00,0.07,0.18,0.00,0.51,0.65,0.00,0.00,0.00,0.29,0.10,0.19,0.00,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.12
0.33,0.53,0.58,0.00,1.13,1.18,0.09,0.21,0.00,0.42,0.21,0.28,0.40,0.00,0.34,0.00,0.00,0.00,0.12,0.00,0.00,0.05,0.00,0.00,0.74,0.00,0.07,0.30,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00
0.42,0.10,0.61,0.00,0.75,1.08,0.00,0.02,0.00,0.91,0.16,0.48,0.17,0.21,0.25,0.08,0.27,0.00,0.05,0.00,0.00,0.09,0.00,0.00,0.94,0.00,0.00,0.01,0.36,0.04,0.00,0.39,0.00,0.20,0.00,0.00
0.54,0.20,0.68,0.29,0.00,1.03,0.00,0.12,0.00,1.13,0.00,0.66,0.00,0.62,0.38,0.00,0.01,0.61,0.16,0.00,0.35,0.62,0.23,0.00,0.95,0.00,0.00,0.00,0.00,0.14,0.00,0.30,0.00,0.35,0.00,0.00
0.72,0.21,0.48,0.00,0.00,1.08,0.06,0.30,0.00,1.39,0.00,0.84,0.00,0.38,0.54,0.00,0.00,0.85,0.37,0.41,0.73,0.90,0.00,0.00,0.80,0.00,0.00,0.15,0.20,0.38,0.00,0.18,0.00,0.39,0.11,0.11
0.86,0.03,0.09,0.00,0.04,1.08,0.74,0.08,0.28,1.49,0.00,0.84,0.00,0.00,0.33,0.36,0.00,0.65,0.01,0.45,0.95,0.96,0.00,0.00,0.32,0.02,0.00,0.00,0.00,0.28,0.00,0.04,0.00,0.06,0.35,0.01
0.78,0.00,0.00,0.49,0.37,1.18,0.90,0.44,0.60,1.42,0.06,0.88,0.00,0.00,0.44,0.72,0.74,0.36,0.00,0.59,0.84,0.65,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.22,0.05,0.07
0.00,0.01,0.01,0.90,0.38,1.19,0.80,0.51,0.63,1.36,0.12,0.79,0.19,0.00,0.57,1.01,0.73,0.21,0.00,0.58,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.10,0.00,0.00
0.27,0.44,0.23,0.91,0.09,1.06,0.84,0.67,0.58,1.48,0.28,0.63,0.00,0.00,0.66,1.06,0.43,0.00,0.00,0.55,0.71,0.00,0.00,0.00,0.05,0.00,0.31,0.10,0.00,0.00,0.00,0.45,0.12,0.04,0.00,0.00
0.06,0.42,0.07,0.78,0.00,0.93,1.06,0.61,0.75,1.68,0.60,0.59,0.00,0.00,0.75,1.08,0.00,0.00,0.00,0.00,0.79,0.00,0.00,0.00,0.00,0.04,0.67,0.15,0.00,0.00,0.00,0.56,0.00,0.00,0.11,0.00
0.16,0.33,0.00,0.00,0.00,0.77,1.02,0.00,0.76,1.83,0.48,0.47,0.00,0.00,0.65,1.07,0.00,0.00,0.00,0.00,0.94,0.00,0.31,0.13,0.00,0.05,0.72,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.07,0.00
0.63,0.00,0.00,0.00,0.04,0.00,0.76,0.00,0.53,1.98,0.00,0.31,0.40,0.28,0.69,0.96,0.00,0.00,0.00,0.22,0.98,0.09,0.74,0.08,0.00,0.18,0.45,0.00,0.64,0.08,0.00,0.00,0.37,0.00,0.00,0.00
0.89,0.00,0.00,0.34,0.27,0.01,0.35,0.00,0.36,2.19,0.18,0.00,0.07,0.26,0.78,0.18,0.00,0.00,0.00,0.68,0.90,0.00,0.68,0.13,0.00,0.51,0.25,0.00,0.36,0.00,0.27,0.00,0.51,0.00,0.35,0.00
1.11,0.25,0.00,0.59,0.55,0.29,0.37,0.22,0.00,2.41,0.55,0.02,0.00,0.05,0.57,0.36,0.48,0.00,0.03,0.75,0.86,0.00,0.26,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.28,0.00,0.27,0.27,0.12,0.00
1.12,0.80,0.00,1.00,0.77,0.55,0.00,0.20,0.00,2.52,0.65,0.33,0.45,0.15,0.51,0.78,0.71,0.32,0.30,0.59,0.86,0.52,0.00,0.00,0.00,1.06,0.00,0.39,0.00,0.00,0.00,0.32,0.41,0.00,0.00,0.00
1.23,1.08,0.13,1.42,0.80,0.60,0.00,0.00,0.17,2.70,0.69,0.38,0.29,0.14,0.57,1.08,0.68,0.44,0.06,0.00,0.70,0.43,0.00,0.18,0.00,0.93,0.25,0.60,0.34,0.00,0.06,0.00,0.53,0.00,0.00,0.00
1.47,1.31,0.68,1.44,1.12,0.53,0.00,0.14,0.32,2.76,0.17,0.59,0.00,0.00,0.59,1.00,0.21,0.70,0.00,0.00,0.48,0.00,0.00,0.22,0.00,0.76,0.75,0.72,0.42,0.00,0.08,0.00,0.44,0.00,0.00,0.00
1.64,1.30,0.92,1.32,1.42,0.15,0.00,0.00,0.36,2.76,0.68,0.82,0.00,0.11,0.61,1.03,0.00,1.03,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.17,0.98,0.65,0.11,0.27,0.00,0.00,0.17,0.00,0.27,0.00
1.62,0.95,0.76,1.40,1.43,0.00,0.00,0.00,0.38,2.82,0.65,0.63,0.00,0.00,0.64,0.89,0.09,1.21,0.00,0.00,0.14,0.00,0.00,0.52,0.18,0.00,0.96,0.25,0.00,0.55,0.00,0.00,0.00,0.00,0.04,0.00
1.54,0.00,0.64,1.42,1.49,0.00,0.11,0.17,0.29,2.89,0.46,0.36,0.00,0.00,0.76,0.59,0.21,1.20,0.00,0.24,0.00,0.00,0.00,0.68,0.00,0.00,0.98,0.18,0.00,0.40,0.12,0.00,0.31,0.00,0.00,0.00
1.54,0.00,0.80,1.46,1.51,0.20,0.52,0.42,0.00,2.93,0.50,0.15,0.00,0.00,0.78,0.00,0.00,1.15,0.00,0.18,0.22,0.00,0.00,0.44,0.00,0.10,1.04,0.06,0.00,0.20,0.00,0.00,0.26,0.00,0.00,0.00
1.54,0.00,0.74,1.57,1.44,0.06,0.78,0.00,0.00,2.90,0.80,0.00,0.00,0.18,0.75,0.05,0.00,0.97,0.00,0.00,0.34,0.00,0.00,0.31,0.00,0.00,1.18,0.17,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
1.59,0.00,0.47,1.60,1.35,0.00,0.64,0.00,0.02,2.92,1.15,0.00,0.03,0.51,0.79,0.00,0.00,0.71,0.00,0.00,0.11,0.03,0.00,0.32,0.00,0.00,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.64,0.00,0.39,1.52,0.00,0.07,0.07,0.00,0.00,2.93,1.41,0.00,0.00,1.06,0.89,0.00,0.00,0.55,0.00,0.00,0.00,0.00,0.10,0.30,0.00,0.00,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00
1.77,0.00,0.10,1.47,0.71,0.00,0.00,0.00,0.00,3.10,1.53,0.00,0.00,1.22,0.95,0.00,0.30,0.44,0.00,0.00,0.00,0.00,0.00,0.29,0.41,0.00,1.01,0.44,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00
1.89,0.00,0.18,1.47,1.18,0.00,0.00,0.00,0.19,3.22,1.57,0.00,0.00,1.06,0.93,0.17,0.13,0.00,0.00,0.21,0.00,0.00,0.00,0.28,0.78,0.00,1.16,1.25,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00
1.94,0.15,0.33,1.37,1.26,0.03,0.05,0.00,0.00,3.22,1.47,0.39,0.70,0.84,0.95,0.18,0.35,0.64,0.06,0.27,0.00,0.00,0.06,0.00,0.92,0.00,1.31,1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18
1.96,0.35,0.47,0.06,0.95,0.09,0.48,0.00,0.05,3.32,1.45,0.26,0.87,0.00,0.92,0.31,0.63,0.56,0.59,0.26,0.00,0.00,0.07,0.00,0.44,0.00,1.28,1.42,0.00,0.01,0.66,0.08,0.00,0.00,0.00,0.11
2.01,0.00,0.74,0.27,0.78,0.00,0.14,0.00,0.00,3.37,1.49,0.26,0.54,0.49,0.79,0.00,0.81,0.23,0.68,0.44,0.00,0.36,0.00,0.07,0.00,0.00,1.26,1.22,0.17,0.00,0.75,0.00,0.00,0.34,0.00,0.00
2.12,0.00,0.73,0.11,0.12,0.00,0.00,0.03,0.00,3.34,1.52,0.32,0.00,0.59,0.70,0.00,0.99,0.36,0.61,0.47,0.00,0.00,0.00,0.59,0.00,0.00,1.25,1.18,0.00,0.00,0.47,0.00,0.28,0.54,0.00,0.04
2.18,0.00,0.66,0.30,0.08,0.00,0.00,0.54,0.00,3.37,1.67,0.12,0.52,0.17,0.19,0.24,0.88,0.27,0.17,0.26,0.00,0.00,0.35,0.54,0.00,0.45,1.26,1.45,0.00,0.00,0.00,0.27,0.42,0.64,0.00,0.00
2.28,0.43,0.63,0.41,0.18,0.00,0.00,0.97,0.00,3.49,1.90,0.00,1.06,0.65,0.55,0.17,0.00,0.02,0.21,0.64,0.24,0.00,0.71,0.32,0.00,0.46,1.27,1.65,0.00,0.06,0.00,0.02,0.29,0.47,0.00,0.00
2.31,0.52,0.59,0.52,0.05,0.14,0.00,1.19,0.14,3.64,2.05,0.25,1.44,0.75,0.56,0.03,0.30,0.00,0.34,0.76,0.00,0.00,0.63,0.00,0.03,0.00,1.27,1.69,0.00,0.29,0.12,0.00,0.09,0.09,0.00,0.00
2.21,0.06,0.66,0.04,0.48,0.00,0.29,0.93,0.11,3.83,2.07,0.22,1.00,0.58,0.44,0.00,0.26,0.17,0.00,0.76,0.00,0.00,0.15,0.00,0.21,0.33,1.20,1.56,0.23,0.58,0.00,0.00,0.00,0.63,0.00,0.00
2.14,0.00,0.65,0.00,0.00,0.00,0.00,0.39,0.00,3.91,2.05,0.00,0.32,0.00,0.36,0.21,0.00,0.81,0.00,0.85,0.00,0.00,0.00,0.14,0.03,0.00,1.12,1.36,0.00,0.71,0.00,0.00,0.00,0.63,0.00,0.00
2.02,0.00,0.64,0.00,0.00,0.00,0.00,0.00,0.00,3.91,2.03,0.00,0.00,0.00,0.22,0.23,0.00,0.53,0.00,0.00,0.00,0.14,0.00,0.10,0.00,0.00,1.09,1.25,0.00,0.58,0.00,0.00,0.00,0.40,0.00,0.00
1.89,0.00,0.64,0.20,0.00,0.00,0.05,0.00,0.00,3.93,1.95,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.00,0.00,0.24,0.00,0.00,0.00,0.19,0.00,0.00
0.00,0.00,0.48,0.60,0.00,0.14,0.00,0.00,0.00,3.84,1.87,0.00,0.00,0.00,0.09,0.00,0.15,0.10,0.00,0.05,0.09,0.00,0.05,0.00,0.00,0.07,1.06,0.00,0.00,0.00,0.18,0.00,0.00,0.48,0.00,0.00
0.00,0.18,0.00,0.70,0.00,0.26,0.00,0.16,0.00,3.81,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.20,0.00,0.35,0.01,0.00,0.00,0.41,0.00,0.00,0.98,0.00,0.00,0.00,0.04,0.00,0.00,0.53,0.00,0.00
0.00,0.05,0.00,0.69,0.00,0.12,0.00,0.14,0.00,3.83,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.25,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.85,0.45,0.25,0.00,0.00,0.00,0.00,0.56,0.00,0.00
0.00,0.00,0.00,0.62,0.00,0.00,0.00,0.00,0.04,3.88,0.00,0.00,0.06,0.00,0.00,0.00,0.67,0.08,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.77,0.72,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.03,0.00,0.18,0.22,0.00,0.00,0.18,0.42,3.96,0.00,0.37,0.21,0.05,0.00,0.00,0.67,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.55,0.08,0.00,0.00,0.00,0.00,0.23,0.01,0.00
0.00,0.30,0.08,0.54,0.60,0.45,0.00,0.07,0.03,4.01,0.00,0.55,0.00,0.00,0.00,0.00,0.68,0.54,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.06
0.00,0.25,0.35,0.56,1.03,0.50,0.00,0.00,0.00,4.01,0.00,0.65,0.00,0.02,0.00,0.00,0.32,0.53,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.03,0.70,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.04
0.27,0.33,0.37,0.44,0.98,0.30,0.00,0.19,0.00,4.05,0.00,0.36,0.41,0.00,0.18,0.14,0.31,0.23,0.00,0.09,0.00,0.00,0.00,0.61,0.00,0.37,0.00,0.18,0.00,0.49,0.00,0.00,0.19,0.38,0.64,0.00
0.83,0.35,0.48,0.01,0.62,0.00,0.00,0.00,0.00,4.17,0.00,0.10,0.47,0.00,0.09,0.32,0.46,0.00,0.02,0.00,0.28,0.00,0.00,0.71,0.00,0.00,0.32,0.21,0.00,0.35,0.00,0.17,0.26,0.77,0.77,0.00
0.92,0.00,0.53,0.01,0.00,0.00,0.00,0.23,0.00,4.24,0.00,0.00,0.00,0.00,0.00,0.33,0.58,0.05,0.00,0.18,0.24,0.00,0.00,0.63,0.00,0.00,0.29,0.00,0.00,0.34,0.00,0.00,0.44,0.56,0.76,0.00
0.76,0.00,0.49,0.00,0.00,0.00,0.00,0.63,0.00,4.23,0.02,0.00,0.00,0.09,0.00,0.21,0.29,0.00,0.00,0.00,0.23,0.00,0.00,0.55,0.00,0.00,0.09,0.00,0.00,0.36,0.05,0.00,0.48,0.00,0.73,0.00
0.70,0.00,0.57,0.00,0.06,0.00,0.00,0.40,0.00,4.24,0.01,0.00,0.00,0.28,0.09,0.09,0.02,0.00,0.00,0.00,0.00,0.00,0.09,0.47,0.00,0.00,0.00,0.00,0.00,0.18,0.11,0.22,0.31,0.01,0.00,0.00
0.22,0.00,0.56,0.00,0.17,0.00,0.07,0.00,0.00,4.31,0.00,0.00,0.00,0.20,0.23,0.00,0.00,0.29,0.00,0.00,0.00,0.22,0.00,0.39,0.00,0.00,0.00,0.13,0.11,0.00,0.00,0.07,0.29,0.35,0.00,0.00
0.39,0.03,0.29,0.32,0.61,0.00,0.37,0.40,0.00,4.37,0.00,0.20,0.07,0.23,0.04,0.12,0.06,0.43,0.00,0.00,0.00,0.20,0.00,0.28,0.00,0.00,0.00,0.55,0.42,0.00,0.06,0.00,0.09,0.18,0.14,0.17
0.66,0.28,0.00,0.10,1.02,0.00,0.39,0.35,0.00,4.36,0.00,0.28,0.00,0.13,0.00,0.29,0.04,0.37,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.56,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.10
0.99,0.32,0.00,0.00,1.01,0.00,0.05,0.50,0.00,4.39,0.24,0.00,0.00,0.00,0.48,0.49,0.00,0.39,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.39
1.14,0.00,0.00,0.00,0.65,0.00,0.06,0.76,0.00,4.21,0.04,0.00,0.00,0.00,0.59,0.73,0.00,0.34,0.00,0.17,0.00,0.03,0.50,0.00,0.00,0.00,0.00,0.42,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.79
1.04,0.00,0.00,0.00,0.14,0.00,0.42,0.98,0.00,4.14,0.00,0.73,0.00,0.49,0.18,0.89,0.00,0.18,0.00,0.00,0.00,0.22,0.49,0.00,0.00,0.37,0.00,0.53,0.00,0.07,0.00,0.00,0.08,0.00,0.00,0.53
0.91,0.25,0.00,0.00,0.56,0.00,0.13,1.12,0.00,4.12,0.43,0.96,0.66,0.56,0.00,1.06,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.03,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.44,0.00,0.39
0.43,0.02,0.18,0.00,0.30,0.00,0.00,0.97,0.00,4.06,0.27,1.12,0.57,0.00,0.00,0.86,0.00,0.00,0.00,0.58,0.00,0.08,0.00,0.43,0.00,0.44,0.00,0.01,0.20,0.00,0.00,0.00,0.00,0.44,0.00,0.37
0.84,0.00,0.27,0.33,0.00,0.03,0.00,0.09,0.00,3.96,0.17,1.04,0.48,0.14,0.00,0.00,0.14,0.00,0.00,0.52,0.00,0.00,0.00,0.70,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.29
0.88,0.15,0.01,0.31,0.42,0.00,0.12,0.33,0.00,3.87,0.16,0.99,0.02,0.82,0.00,0.00,0.19,0.04,0.00,0.12,0.00,0.00,0.00,0.38,0.00,0.00,0.01,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.29,0.03
0.90,0.31,0.00,0.34,0.86,0.20,0.17,0.50,0.00,0.27,0.29,0.98,0.00,1.09,0.25,0.00,0.43,0.94,0.00,0.24,0.00,0.00,0.56,0.05,0.00,0.08,0.00,0.00,0.22,0.09,0.00,0.10,0.22,0.00,0.00,0.00
0.95,0.30,0.00,0.63,1.12,0.13,0.05,0.84,0.00,0.14,0.07,0.89,0.10,1.10,0.32,0.00,0.21,1.04,0.00,0.00,0.00,0.03,0.73,0.00,0.00,0.28,0.00,0.58,0.00,0.27,0.00,0.00,0.22,0.00,0.00,0.00
